gridName,jsonPath,diagnosticPngPath,dryLandCellCount,totalContourSegments
01_Crescent_City,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\01_Crescent_City_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\01_Crescent_City_inundation_limits_diagnostic.png,3382481,5079
02_Wilson_Creek,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\02_Wilson_Creek_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\02_Wilson_Creek_inundation_limits_diagnostic.png,112763,381
03_Klamath,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\03_Klamath_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\03_Klamath_inundation_limits_diagnostic.png,1002980,2567
04_Orick,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\04_Orick_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\04_Orick_inundation_limits_diagnostic.png,367252,805
05_Big_Lagoon,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\05_Big_Lagoon_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\05_Big_Lagoon_inundation_limits_diagnostic.png,349797,1453
06_Trinidad,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\06_Trinidad_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\06_Trinidad_inundation_limits_diagnostic.png,360673,2342
07_Humboldt_Bay,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\07_Humboldt_Bay_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\07_Humboldt_Bay_inundation_limits_diagnostic.png,3722166,27823
08_Ferndale,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\08_Ferndale_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\08_Ferndale_inundation_limits_diagnostic.png,5271398,7978
09_Shelter_Cove,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\09_Shelter_Cove_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\09_Shelter_Cove_inundation_limits_diagnostic.png,152024,799
10_Fort_Bragg,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\10_Fort_Bragg_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\10_Fort_Bragg_inundation_limits_diagnostic.png,2538747,5305
